G1_D1_0004|G4_D1_2775, G1_D1_0004|G4_D1_2592, 74.44
G1_D2_2285|G2_D8_1680, G1_D2_2285|G2_D7_0268, 18.53
G1_D2_2286|G5_D2_0687, G1_D2_2286|G5_D2_0237, 22.83
G1_D2_2297|G5_D2_1042, G1_D2_2297|G5_D2_1408, 17.33
G1_D2_2306|G2_D6_0917, G1_D2_2306|G2_D8_3095, 27.12
G1_D2_2356|G1_D2_2841, G1_D2_2356|G1_D1_0867, 100.00
G1_D2_2357|G1_D2_2842, G1_D2_2357|G1_D1_0868, 100.00
G1_D2_2400|G5_D2_1549, G1_D2_2400|G5_D2_1613, 29.46
G1_D2_2460|G2_D8_0133, G1_D2_2460|G2_D7_1288, 27.44
G1_D2_2497|G2_D8_0939, G1_D2_2497|G2_D8_0939, 8.01
G1_D2_2515|G3_D1_1138, G1_D2_2515|G3_D2_2909, 22.10
G1_D2_2583|G5_D1_1616, G1_D2_2583|G5_D1_2561, 17.78
G1_D2_2587|G4_D2_1583, G1_D2_2587|G4_D2_1306, 29.78
G1_D2_2618|G3_D1_0291, G1_D2_2618|G3_D1_2223, 18.07
G1_D2_2619|G2_D7_0663, G1_D2_2619|G2_D8_1557, 28.61
G1_D2_2674|G3_D1_0660, G1_D2_2674|G3_D1_2350, 8.54
G1_D2_2687|G1_D2_2687, G1_D2_2687|G1_D1_0135, 100.00
G1_D2_2717|G2_D8_1431, G1_D2_2717|G2_D6_0896, 36.09
G1_D2_2724|G4_D1_0696, G1_D2_2724|G4_D1_1968, 10.47
G1_D2_2789|G5_D1_2993, G1_D2_2789|G5_D3_170, 18.62
G1_D2_2790|G2_D8_0446, G1_D2_2790|G2_D8_0446, 1.23
G1_D2_2814|G2_D7_0974, G1_D2_2814|G2_D8_2630, 40.08
G1_D2_2818|G1_D2_2818, G1_D2_2818|G1_D2_0260, 100.00
G1_D2_2821|G4_D1_1842, G1_D2_2821|G4_D2_0750, 22.92
G1_D2_2823|G2_D4_158, G1_D2_2823|G2_D8_1636, 29.63
G1_D2_2831|G2_D6_0714, G1_D2_2831|G2_D6_0083, 18.44
G1_D2_2832|G4_D1_0886, G1_D2_2832|G4_D1_0406, 2.25
G1_D2_2841|G1_D2_2841, G1_D2_2841|G1_D1_0867, 100.00
G1_D2_2842|G1_D2_2842, G1_D2_2842|G1_D1_0868, 100.00
G1_D2_2847|G1_D2_2847, G1_D2_2847|G1_D1_1256, 100.00
G1_D2_2848|G1_D2_2848, G1_D2_2848|G1_D1_1257, 100.00
G1_D2_2871|G4_D2_0688, G1_D2_2871|G4_D2_2418, 55.61
G1_D2_2890|G4_D1_2889, G1_D2_2890|G4_D2_0229, 26.96
G1_D2_2899|G2_D5_072, G1_D2_2899|G2_D8_1589, 45.47
G1_D2_2914|G2_D6_1035, G1_D2_2914|G2_D6_1040, 57.55
G1_D3_0017|G5_D1_2285, G1_D3_0017|G5_D2_1774, 16.11
G1_D3_0061|G4_D1_2981, G1_D3_0061|G4_D2_1560, 28.02
G1_D3_0088|G4_D1_1251, G1_D3_0088|G4_D2_0189, 18.85
G1_D3_0092|G3_D2_3242, G1_D3_0092|G3_D2_3107, 23.56
G1_D3_0112|G4_D1_0227, G1_D3_0112|G4_D2_0584, 17.61
G1_D3_0167|G5_D2_0789, G1_D3_0167|G5_D4_818, 40.91
G1_D3_0182|G5_D4_075, G1_D3_0182|G5_D1_1290, 84.84
G1_D3_0201|G2_D8_2979, G1_D3_0201|G2_D8_2310, 33.42
G1_D3_0203|G3_D2_3214, G1_D3_0203|G3_D2_3214, 5.31
G1_D3_0210|G2_D8_0489, G1_D3_0210|G2_D7_0017, 15.64
G1_D3_0213|G5_D1_2389, G1_D3_0213|G5_D4_590, 33.23
G1_D3_0215|G3_D1_1834, G1_D3_0215|G3_D2_0782, 40.46
G1_D3_0245|G2_D7_1254, G1_D3_0245|G2_D8_0975, 86.24
G1_D3_0267|G3_D1_0410, G1_D3_0267|G3_D1_1472, 21.41
G1_D3_0272|G2_D8_1714, G1_D3_0272|G2_D8_2879, 41.29
G1_D3_0283|G5_D4_266, G1_D3_0283|G5_D1_1795, 48.33
G1_D3_0293|G2_D7_0518, G1_D3_0293|G2_D7_0277, 34.08
G1_D3_0316|G4_D2_0458, G1_D3_0316|G4_D2_1593, 18.10
G1_D3_0357|G2_D4_171, G1_D3_0357|G2_D8_1643, 7.80
G1_D3_0370|G1_D3_0848, G1_D3_0370|G1_D1_1532, 100.00
G1_D3_0371|G1_D3_0847, G1_D3_0371|G1_D1_3307, 100.00
G1_D3_0372|G1_D3_0846, G1_D3_0372|G1_D1_1534, 100.00
G1_D3_0373|G1_D3_0845, G1_D3_0373|G1_D1_1535, 100.00
G1_D3_0374|G5_D2_2204, G1_D3_0374|G5_D1_1549, 4.72
G1_D3_0380|G4_D1_1077, G1_D3_0380|G4_D1_2850, 5.04
G1_D3_0389|G4_D1_3206, G1_D3_0389|G4_D1_2897, 16.18
G1_D3_0399|G4_D1_1333, G1_D3_0399|G4_D2_1066, 7.69
G1_D3_0413|G5_D1_1322, G1_D3_0413|G5_D1_2386, 38.87
G1_D3_0449|G4_D1_1759, G1_D3_0449|G4_D1_1878, 7.98
G1_D3_0450|G2_D6_0079, G1_D3_0450|G2_D6_0593, 43.86
G1_D3_0451|G2_D6_0078, G1_D3_0451|G2_D6_0594, 43.17
G1_D3_0467|G1_D3_0807, G1_D3_0467|G1_D3_0467, 100.00
G1_D3_0472|G4_D1_2698, G1_D3_0472|G4_D1_0173, 18.03
G1_D3_0487|G3_D1_1803, G1_D3_0487|G3_D2_0060, 28.42
G1_D3_0491|G3_D1_0328, G1_D3_0491|G3_D1_0496, 11.30
G1_D3_0500|G3_D2_1614, G1_D3_0500|G3_D2_1063, 23.70
G1_D3_0503|G4_D2_0791, G1_D3_0503|G4_D1_2592, 3.17
G1_D3_0509|G3_D1_2117, G1_D3_0509|G3_D2_2859, 6.25
G1_D3_0547|G2_D8_2879, G1_D3_0547|G2_D8_1714, 26.47
G1_D3_0558|G5_D1_2798, G1_D3_0558|G5_D2_1857, 20.48
G1_D3_0564|G2_D8_0590, G1_D3_0564|G2_D8_1034, 34.96
G1_D3_0566|G2_D8_1569, G1_D3_0566|G2_D8_0120, 11.57
G1_D3_0568|G2_D7_0073, G1_D3_0568|G2_D7_1476, 29.68
G1_D3_0570|G2_D8_1714, G1_D3_0570|G2_D8_2879, 45.18
G1_D3_0576|G2_D8_0515, G1_D3_0576|G2_D7_1248, 34.83
G1_D3_0586|G3_D1_0225, G1_D3_0586|G3_D2_2535, 28.29
G1_D3_0607|G5_D1_1027, G1_D3_0607|G5_D1_2999, 4.33
G1_D3_0630|G3_D2_0023, G1_D3_0630|G3_D2_2268, 23.48
G1_D3_0635|G2_D7_1721, G1_D3_0635|G2_D7_0099, 25.64
G1_D3_0637|G2_D7_0461, G1_D3_0637|G2_D7_1122, 34.08
G1_D3_0646|G3_D2_2548, G1_D3_0646|G3_D2_1447, 22.62
G1_D3_0647|G2_D6_0640, G1_D3_0647|G2_D7_0802, 35.00
G1_D3_0666|G3_D2_1439, G1_D3_0666|G3_D2_1441, 2.68
G1_D3_0689|G2_D7_2026, G1_D3_0689|G2_D7_1620, 26.96
G1_D3_0702|G4_D1_2592, G1_D3_0702|G4_D2_0791, 16.43
G1_D3_0709|G5_D4_673, G1_D3_0709|G5_D2_1173, 21.01
G1_D3_0717|G2_D7_0677, G1_D3_0717|G2_D7_1102, 36.62
G1_D3_0718|G2_D6_0640, G1_D3_0718|G2_D7_0802, 34.00
G1_D3_0733|G2_D8_2002, G1_D3_0733|G2_D2_110, 11.16
G1_D3_0747|G1_D3_0747, G1_D3_0747|G1_D1_3289, 100.00
G1_D3_0748|G1_D3_0748, G1_D3_0748|G1_D1_3290, 100.00
G1_D3_0749|G1_D3_0749, G1_D3_0749|G1_D1_3291, 100.00
G1_D3_0750|G1_D3_0750, G1_D3_0750|G1_D1_3292, 100.00
G1_D3_0756|G5_D1_2126, G1_D3_0756|G5_D2_1793, 31.51
G1_D3_0776|G3_D2_2649, G1_D3_0776|G3_D2_2699, 40.15
G1_D3_0777|G3_D2_2708, G1_D3_0777|G3_D2_1528, 6.57
G1_D3_0806|G2_D8_1453, G1_D3_0806|G2_D8_1471, 12.27
G1_D3_0807|G1_D3_0807, G1_D3_0807|G1_D3_0467, 100.00
G1_D3_0825|G2_D6_0609, G1_D3_0825|G2_D4_168, 8.16
G1_D3_0835|G4_D1_1370, G1_D3_0835|G4_D2_1836, 9.27
G1_D3_0842|G5_D2_2080, G1_D3_0842|G5_D4_280, 33.09
G1_D3_0845|G1_D3_0845, G1_D3_0845|G1_D1_1535, 100.00
G1_D3_0846|G1_D3_0846, G1_D3_0846|G1_D1_1534, 100.00
G1_D3_0847|G1_D3_0847, G1_D3_0847|G1_D1_3307, 100.00
G1_D3_0848|G1_D3_0848, G1_D3_0848|G1_D1_1532, 100.00
G1_D3_0865|G2_D8_0673, G1_D3_0865|G2_D7_0245, 32.28
G1_D3_0886|G2_D7_1248, G1_D3_0886|G2_D7_0181, 28.74
G1_D3_0902|G5_D4_279, G1_D3_0902|G5_D2_0503, 14.66
G1_D3_0911|G4_D1_1900, G1_D3_0911|G4_D2_2274, 31.11
G1_D3_0924|G2_D7_0440, G1_D3_0924|G2_D6_0029, 24.85
G1_D3_0929|G3_D2_1169, G1_D3_0929|G3_D2_1706, 34.85
G1_D3_0949|G2_D6_0166, G1_D3_0949|G2_D7_0639, 22.47
G1_D3_0973|G2_D4_039, G1_D3_0973|G2_D8_3219, 18.80
G1_D3_0988|G5_D1_0470, G1_D3_0988|G5_D1_2555, 46.58
G1_D3_1003|G2_D7_1721, G1_D3_1003|G2_D6_0778, 29.30
G1_D3_1022|G3_D1_1123, G1_D3_1022|G3_D1_0214, 15.28
G1_D3_1049|G2_D8_1331, G1_D3_1049|G2_D6_0743, 24.72
G1_D3_1077|G4_D2_1985, G1_D3_1077|G4_D2_0329, 10.55
G1_D3_1084|G3_D1_0303, G1_D3_1084|G3_D1_0303, 6.02
G1_D3_1087|G2_D8_2493, G1_D3_1087|G2_D6_0108, 44.97
G1_D3_1106|G4_D1_0266, G1_D3_1106|G4_D2_1085, 12.27
G1_D3_1114|G2_D8_2240, G1_D3_1114|G2_D7_0799, 34.10
G1_D3_1127|G1_D3_1150, G1_D3_1127|G1_D3_1127, 100.00
G1_D3_1141|G3_D2_1169, G1_D3_1141|G3_D1_1602, 29.96
G1_D3_1150|G1_D3_1150, G1_D3_1150|G1_D3_1127, 100.00
G1_D3_1151|G2_D4_173, G1_D3_1151|G2_D8_1645, 20.23
G1_D3_1152|G2_D4_180, G1_D3_1152|G2_D8_1652, 77.63
G1_D3_1153|G2_D4_177, G1_D3_1153|G2_D8_1649, 40.73
G1_D3_1154|G2_D4_175, G1_D3_1154|G2_D7_0544, 65.58
G1_D3_1192|G4_D1_2935, G1_D3_1192|G4_D2_1978, 36.75
G1_D3_1214|G2_D6_0132, G1_D3_1214|G2_D8_0135, 25.06
G1_D3_1237|G5_D4_100, G1_D3_1237|G5_D1_1976, 3.65
G1_D3_1259|G5_D1_0561, G1_D3_1259|G5_D1_1856, 62.10
G1_D3_1268|G4_D1_0287, G1_D3_1268|G4_D1_0265, 93.10
G1_D3_1287|G3_D1_0217, G1_D3_1287|G3_D2_1171, 46.23
G1_D3_1290|G2_D6_1040, G1_D3_1290|G2_D6_1109, 5.13
G2_D1_007|G4_D2_0159, G2_D1_007|G4_D1_0286, 5.78
G2_D1_009|G1_D3_0944, G2_D1_009|G1_D2_0388, 2.69
G2_D1_045|G5_D1_3000, G2_D1_045|G5_D3_164, 3.56
G2_D1_058|G4_D1_1563, G2_D1_058|G4_D2_1872, 10.21
G2_D1_066|G1_D2_1083, G2_D1_066|G1_D1_4292, 5.03
G2_D1_090|G1_D2_0413, G2_D1_090|G1_D2_0101, 2.62
G2_D2_006|G4_D2_0158, G2_D2_006|G4_D1_0287, 98.85
G2_D2_007|G1_D1_1826, G2_D2_007|G1_D1_1796, 31.90
G2_D2_009|G4_D1_0877, G2_D2_009|G4_D1_1645, 23.57
G2_D2_098|G1_D1_2404, G2_D2_098|G1_D2_0199, 7.54
G2_D2_105|G2_D6_0657, G2_D2_105|G2_D6_1035, 100.00
G2_D2_114|G2_D6_0727, G2_D2_114|G2_D2_114, 100.00
G2_D2_115|G2_D6_0726, G2_D2_115|G2_D2_115, 100.00
G2_D2_116|G2_D6_0725, G2_D2_116|G2_D2_116, 100.00
G2_D2_117|G4_D2_1086, G2_D2_117|G4_D1_0265, 100.00
G2_D2_118|G1_D1_1826, G2_D2_118|G1_D1_1796, 24.73
G2_D2_120|G1_D1_4302, G2_D2_120|G1_D1_0007, 71.75
G2_D2_123|G3_D2_1447, G2_D2_123|G3_D2_1528, 10.64
G2_D2_134|G1_D3_1127, G2_D2_134|G1_D3_1150, 8.42
G2_D2_148|G2_D8_0006, G2_D2_148|G2_D7_0982, 100.00
G2_D2_149|G2_D8_0007, G2_D2_149|G2_D7_0983, 100.00
G2_D2_154|G1_D3_0467, G2_D2_154|G1_D3_0807, 10.60
G2_D2_155|G1_D1_4302, G2_D2_155|G1_D1_0007, 19.70
G2_D2_158|G2_D7_1116, G2_D2_158|G2_D2_158, 100.00
G2_D2_159|G2_D7_1117, G2_D2_159|G2_D2_159, 100.00
G2_D2_161|G2_D2_209, G2_D2_161|G2_D2_161, 100.00
G2_D2_165|G2_D6_0604, G2_D2_165|G2_D4_163, 100.00
G2_D2_166|G1_D3_1127, G2_D2_166|G1_D3_1150, 3.37
G2_D2_167|G2_D6_0606, G2_D2_167|G2_D4_165, 100.00
G2_D2_168|G2_D6_0607, G2_D2_168|G2_D4_166, 100.00
G2_D2_169|G2_D6_0608, G2_D2_169|G2_D4_167, 100.00
G2_D2_173|G1_D3_1127, G2_D2_173|G1_D3_1150, 9.59
G2_D2_178|G2_D6_0657, G2_D2_178|G2_D6_1035, 100.00
G2_D2_181|G3_D1_1447, G2_D2_181|G3_D2_2110, 29.71
G2_D2_185|G1_D3_1127, G2_D2_185|G1_D3_1150, 24.17
G2_D2_194|G2_D7_1116, G2_D2_194|G2_D2_158, 100.00
G2_D2_195|G2_D7_1117, G2_D2_195|G2_D2_159, 100.00
G2_D2_198|G1_D1_4302, G2_D2_198|G1_D1_0007, 18.96
G2_D2_199|G1_D3_0467, G2_D2_199|G1_D3_0807, 10.60
G2_D2_209|G2_D2_209, G2_D2_209|G2_D2_161, 100.00
G2_D2_226|G1_D1_0081, G2_D2_226|G1_D1_3648, 17.67
G2_D2_256|G1_D3_1127, G2_D2_256|G1_D3_1150, 43.57
G2_D2_257|G2_D2_257, G2_D2_257|G2_D6_0654, 100.00
G2_D2_258|G1_D3_0467, G2_D2_258|G1_D3_0807, 10.60
G2_D2_259|G2_D8_0185, G2_D2_259|G2_D2_259, 100.00
G2_D2_260|G2_D8_2057, G2_D2_260|G2_D2_260, 100.00
G2_D2_261|G1_D3_1127, G2_D2_261|G1_D3_1150, 2.78
G2_D3_014|G4_D1_2371, G2_D3_014|G4_D1_1648, 2.18
G2_D3_017|G3_D2_0087, G2_D3_017|G3_D2_1256, 1.96
G2_D3_026|G2_D6_0608, G2_D3_026|G2_D4_167, 100.00
G2_D3_027|G2_D6_0607, G2_D3_027|G2_D4_166, 100.00
G2_D3_028|G2_D6_0606, G2_D3_028|G2_D4_165, 100.00
G2_D3_029|G1_D3_1127, G2_D3_029|G1_D3_1150, 3.37
G2_D3_030|G2_D6_0604, G2_D3_030|G2_D4_163, 100.00
G2_D3_036|G2_D3_075, G2_D3_036|G2_D3_036, 100.00
G2_D3_062|G2_D3_062, G2_D3_062|G2_D4_248, 100.00
G2_D3_066|G4_D2_1802, G2_D3_066|G4_D1_0264, 62.12
G2_D3_067|G1_D2_2687, G2_D3_067|G1_D1_0135, 75.29
G2_D3_068|G1_D1_1826, G2_D3_068|G1_D1_1796, 3.94
G2_D3_069|G2_D8_0006, G2_D3_069|G2_D7_0982, 100.00
G2_D3_070|G2_D8_0007, G2_D3_070|G2_D7_0983, 100.00
G2_D3_075|G2_D3_075, G2_D3_075|G2_D3_036, 100.00
G2_D3_087|G1_D1_1790, G2_D3_087|G1_D3_0442, 3.78
G2_D3_106|G4_D1_1870, G2_D3_106|G4_D2_0605, 5.49
G2_D4_058|G2_D6_0657, G2_D4_058|G2_D6_1035, 100.00
G2_D4_123|G5_D4_564, G2_D4_123|G5_D3_183, 51.35
G2_D4_142|G4_D1_2612, G2_D4_142|G4_D2_1274, 4.31
G2_D4_147|G2_D6_0657, G2_D4_147|G2_D6_1035, 100.00
G2_D4_156|G2_D8_1634, G2_D4_156|G2_D6_0597, 100.00
G2_D4_157|G2_D8_1635, G2_D4_157|G2_D6_0598, 100.00
G2_D4_158|G2_D8_1636, G2_D4_158|G2_D6_0599, 100.00
G2_D4_159|G1_D3_1127, G2_D4_159|G1_D3_1150, 45.40
G2_D4_160|G2_D8_1638, G2_D4_160|G2_D6_0601, 100.00
G2_D4_161|G2_D8_1639, G2_D4_161|G2_D6_0602, 100.00
G2_D4_162|G2_D6_0603, G2_D4_162|G2_D4_162, 100.00
G2_D4_163|G2_D6_0604, G2_D4_163|G2_D4_163, 100.00
G2_D4_164|G1_D3_1127, G2_D4_164|G1_D3_1150, 3.37
G2_D4_165|G2_D6_0606, G2_D4_165|G2_D4_165, 100.00
G2_D4_166|G2_D6_0607, G2_D4_166|G2_D4_166, 100.00
G2_D4_167|G2_D6_0608, G2_D4_167|G2_D4_167, 100.00
G2_D4_168|G2_D6_0609, G2_D4_168|G2_D4_168, 100.00
G2_D4_169|G2_D8_1641, G2_D4_169|G2_D6_0610, 100.00
G2_D4_170|G2_D8_1642, G2_D4_170|G2_D6_0611, 100.00
G2_D4_171|G2_D8_1643, G2_D4_171|G2_D6_0612, 100.00
G2_D4_172|G2_D8_1644, G2_D4_172|G2_D6_0613, 100.00
G2_D4_173|G2_D8_1645, G2_D4_173|G2_D6_0614, 100.00
G2_D4_174|G2_D8_1646, G2_D4_174|G2_D6_0615, 100.00
G2_D4_175|G2_D8_1647, G2_D4_175|G2_D6_0616, 100.00
G2_D4_176|G2_D8_1648, G2_D4_176|G2_D6_0617, 100.00
G2_D4_177|G2_D8_1649, G2_D4_177|G2_D6_0618, 100.00
G2_D4_178|G2_D8_1650, G2_D4_178|G2_D6_0619, 100.00
G2_D4_179|G2_D8_1651, G2_D4_179|G2_D6_0620, 100.00
G2_D4_180|G2_D8_1652, G2_D4_180|G2_D6_0621, 100.00
G2_D4_181|G2_D8_1653, G2_D4_181|G2_D6_0622, 100.00
G2_D4_182|G2_D8_1654, G2_D4_182|G2_D6_0623, 100.00
G2_D4_183|G2_D8_1655, G2_D4_183|G2_D6_0624, 100.00
G2_D4_184|G2_D8_1656, G2_D4_184|G2_D6_0625, 100.00
G2_D4_185|G2_D8_1657, G2_D4_185|G2_D6_0626, 100.00
G2_D4_248|G2_D3_062, G2_D4_248|G2_D4_248, 100.00
G2_D4_249|G2_D3_062, G2_D4_249|G2_D4_248, 100.00
G2_D5_010|G2_D8_1657, G2_D5_010|G2_D6_0626, 100.00
G2_D5_011|G2_D8_1656, G2_D5_011|G2_D6_0625, 100.00
G2_D5_012|G2_D8_1655, G2_D5_012|G2_D6_0624, 100.00
G2_D5_013|G2_D8_1654, G2_D5_013|G2_D6_0623, 100.00
G2_D5_014|G2_D8_1653, G2_D5_014|G2_D6_0622, 100.00
G2_D5_015|G2_D8_1652, G2_D5_015|G2_D6_0621, 100.00
G2_D5_016|G2_D8_1651, G2_D5_016|G2_D6_0620, 100.00
G2_D5_017|G2_D8_1650, G2_D5_017|G2_D6_0619, 100.00
G2_D5_018|G2_D8_1649, G2_D5_018|G2_D6_0618, 100.00
G2_D5_019|G2_D8_1648, G2_D5_019|G2_D6_0617, 100.00
G2_D5_020|G2_D8_1647, G2_D5_020|G2_D6_0616, 100.00
G2_D5_021|G2_D8_1646, G2_D5_021|G2_D6_0615, 100.00
G2_D5_022|G2_D8_1645, G2_D5_022|G2_D6_0614, 100.00
G2_D5_023|G2_D8_1644, G2_D5_023|G2_D6_0613, 100.00
G2_D5_024|G2_D8_1643, G2_D5_024|G2_D6_0612, 100.00
G2_D5_025|G2_D8_1642, G2_D5_025|G2_D6_0611, 100.00
G2_D5_026|G2_D8_1641, G2_D5_026|G2_D6_0610, 100.00
G2_D5_027|G2_D8_1640, G2_D5_027|G2_D5_027, 100.00
G2_D5_028|G2_D8_1639, G2_D5_028|G2_D6_0602, 100.00
G2_D5_029|G2_D8_1638, G2_D5_029|G2_D6_0601, 100.00
G2_D5_030|G1_D3_1127, G2_D5_030|G1_D3_1150, 45.50
G2_D5_031|G2_D8_1636, G2_D5_031|G2_D6_0599, 100.00
G2_D5_032|G2_D8_1635, G2_D5_032|G2_D6_0598, 100.00
G2_D5_033|G2_D8_1634, G2_D5_033|G2_D6_0597, 100.00
G2_D5_036|G1_D1_4307, G2_D5_036|G1_D1_4296, 33.65
G2_D5_037|G1_D1_4308, G2_D5_037|G1_D1_4295, 54.24
G2_D5_038|G1_D1_4309, G2_D5_038|G1_D1_4294, 29.41
G2_D5_042|G2_D6_0657, G2_D5_042|G2_D6_1035, 100.00
G2_D5_044|G5_D2_0500, G2_D5_044|G5_D1_2290, 71.18
G2_D5_080|G1_D1_3517, G2_D5_080|G1_D1_1612, 22.11
G2_D5_108|G2_D8_2057, G2_D5_108|G2_D2_260, 100.00
G2_D5_109|G2_D8_2056, G2_D5_109|G2_D5_109, 100.00
G2_D5_126|G3_D2_0370, G2_D5_126|G3_D2_0144, 13.46
G2_D5_160|G2_D3_062, G2_D5_160|G2_D4_248, 100.00
G2_D5_164|G2_D6_0657, G2_D5_164|G2_D6_1035, 100.00
G2_D5_166|G1_D1_4309, G2_D5_166|G1_D1_4294, 29.41
G2_D5_167|G1_D1_4308, G2_D5_167|G1_D1_4295, 54.24
G2_D5_168|G1_D1_4307, G2_D5_168|G1_D1_4296, 33.65
G2_D5_177|G2_D6_0657, G2_D5_177|G2_D6_1035, 100.00
G2_D5_194|G2_D6_0657, G2_D5_194|G2_D6_1035, 100.00
G2_D5_201|G2_D3_062, G2_D5_201|G2_D4_248, 100.00
G2_D5_220|G2_D6_0657, G2_D5_220|G2_D6_1035, 100.00
G2_D5_228|G1_D2_1047, G2_D5_228|G1_D3_0442, 7.00
G2_D5_237|G4_D2_1323, G2_D5_237|G4_D2_1769, 6.52
G2_D5_310|G3_D2_1425, G2_D5_310|G3_D2_2649, 30.61
G2_D5_311|G3_D2_1426, G2_D5_311|G3_D2_2650, 32.48
G2_D5_312|G1_D1_4309, G2_D5_312|G1_D1_4294, 33.91
G2_D5_362|G2_D6_0657, G2_D5_362|G2_D6_1035, 100.00
G2_D5_389|G1_D1_4307, G2_D5_389|G1_D1_4296, 33.65
G2_D5_390|G1_D1_4308, G2_D5_390|G1_D1_4295, 54.24
G2_D5_391|G1_D1_4309, G2_D5_391|G1_D1_4294, 29.41
G2_D5_395|G3_D1_1530, G2_D5_395|G3_D1_0935, 3.33
G2_D5_408|G4_D2_0334, G2_D5_408|G4_D1_2606, 3.48
G2_D6_0027|G2_D6_0657, G2_D6_0027|G2_D6_1035, 100.00
G2_D6_0066|G3_D2_1447, G2_D6_0066|G3_D1_0099, 13.48
G2_D6_0067|G2_D3_062, G2_D6_0067|G2_D4_248, 100.00
G2_D6_0073|G2_D6_0718, G2_D6_0073|G2_D6_0073, 100.00
G2_D6_0077|G4_D2_0158, G2_D6_0077|G4_D1_1637, 36.78
G2_D6_0079|G1_D1_4128, G2_D6_0079|G1_D1_1867, 92.11
G2_D6_0080|G3_D2_2649, G2_D6_0080|G3_D2_2699, 50.47
G2_D6_0082|G1_D1_1826, G2_D6_0082|G1_D1_1796, 22.58
G2_D6_0086|G2_D8_2057, G2_D6_0086|G2_D2_260, 100.00
G2_D6_0087|G2_D8_0185, G2_D6_0087|G2_D2_259, 100.00
G2_D6_0088|G1_D3_0467, G2_D6_0088|G1_D3_0807, 10.60
G2_D6_0089|G2_D2_257, G2_D6_0089|G2_D6_0654, 100.00
G2_D6_0098|G1_D1_0868, G2_D6_0098|G1_D1_1907, 23.65
G2_D6_0105|G3_D2_1773, G2_D6_0105|G3_D1_2122, 31.12
G2_D6_0119|G1_D2_0359, G2_D6_0119|G1_D2_2718, 33.70
G2_D6_0122|G3_D2_3040, G2_D6_0122|G3_D2_3027, 5.56
G2_D6_0138|G5_D4_502, G2_D6_0138|G5_D1_2858, 28.05
G2_D6_0143|G3_D2_0186, G2_D6_0143|G3_D2_0023, 29.64
G2_D6_0225|G1_D2_0304, G2_D6_0225|G1_D2_1395, 8.13
G2_D6_0241|G1_D1_1930, G2_D6_0241|G1_D1_3004, 23.80
G2_D6_0288|G2_D6_0657, G2_D6_0288|G2_D6_1035, 100.00
G2_D6_0295|G3_D2_3241, G2_D6_0295|G3_D1_0572, 27.64
G2_D6_0298|G4_D2_0840, G2_D6_0298|G4_D1_2733, 16.30
G2_D6_0320|G4_D1_3329, G2_D6_0320|G4_D2_1677, 3.50
G2_D6_0328|G5_D4_423, G2_D6_0328|G5_D2_2368, 4.84
G2_D6_0331|G1_D1_1824, G2_D6_0331|G1_D1_1794, 68.53
G2_D6_0379|G1_D1_1068, G2_D6_0379|G1_D1_1737, 55.05
G2_D6_0380|G4_D1_0949, G2_D6_0380|G4_D2_1839, 34.83
G2_D6_0382|G1_D1_1796, G2_D6_0382|G1_D1_1826, 24.73
G2_D6_0418|G3_D1_0298, G2_D6_0418|G3_D2_1033, 25.75
G2_D6_0454|G4_D1_1316, G2_D6_0454|G4_D1_3352, 7.82
G2_D6_0480|G3_D2_2168, G2_D6_0480|G3_D1_2255, 5.99
G2_D6_0503|G5_D4_016, G2_D6_0503|G5_D1_1372, 17.60
G2_D6_0515|G5_D4_921, G2_D6_0515|G5_D1_0977, 8.11
G2_D6_0536|G5_D1_2666, G2_D6_0536|G5_D4_239, 7.17
G2_D6_0561|G5_D4_184, G2_D6_0561|G5_D4_188, 76.10
G2_D6_0577|G5_D2_1135, G2_D6_0577|G5_D1_1242, 8.98
G2_D6_0592|G3_D2_2649, G2_D6_0592|G3_D2_2699, 50.85
G2_D6_0593|G1_D1_4128, G2_D6_0593|G1_D1_1867, 92.11
G2_D6_0597|G2_D8_1634, G2_D6_0597|G2_D6_0597, 100.00
G2_D6_0598|G2_D8_1635, G2_D6_0598|G2_D6_0598, 100.00
G2_D6_0599|G2_D8_1636, G2_D6_0599|G2_D6_0599, 100.00
G2_D6_0600|G1_D3_1127, G2_D6_0600|G1_D3_1150, 45.40
G2_D6_0601|G2_D8_1638, G2_D6_0601|G2_D6_0601, 100.00
G2_D6_0602|G2_D8_1639, G2_D6_0602|G2_D6_0602, 100.00
G2_D6_0603|G2_D6_0603, G2_D6_0603|G2_D4_162, 100.00
G2_D6_0604|G2_D6_0604, G2_D6_0604|G2_D4_163, 100.00
G2_D6_0605|G1_D3_1127, G2_D6_0605|G1_D3_1150, 3.37
G2_D6_0606|G2_D6_0606, G2_D6_0606|G2_D4_165, 100.00
G2_D6_0607|G2_D6_0607, G2_D6_0607|G2_D4_166, 100.00
G2_D6_0608|G2_D6_0608, G2_D6_0608|G2_D4_167, 100.00
G2_D6_0609|G2_D6_0609, G2_D6_0609|G2_D4_168, 100.00
G2_D6_0610|G2_D8_1641, G2_D6_0610|G2_D6_0610, 100.00
G2_D6_0611|G2_D8_1642, G2_D6_0611|G2_D6_0611, 100.00
G2_D6_0612|G2_D8_1643, G2_D6_0612|G2_D6_0612, 100.00
G2_D6_0613|G2_D8_1644, G2_D6_0613|G2_D6_0613, 100.00
G2_D6_0614|G2_D8_1645, G2_D6_0614|G2_D6_0614, 100.00
